sim_id,seed,winner,end_reason,end_turn,france_nodes,allies_nodes,neutral_nodes,france_troops_total,allies_troops_total
0,10000,Allies,turn_limit,312,105,125,0,18840,66523
1,10001,France,allies_eliminated,293,162,68,0,59629,0
2,10002,France,allies_eliminated,308,185,45,0,62617,0
3,10003,France,turn_limit,312,145,85,0,21603,32702
4,10004,Allies,turn_limit,312,95,135,0,8232,109101
5,10005,France,turn_limit,312,157,73,0,13310,80980
6,10006,France,turn_limit,312,122,108,0,62691,63946
7,10007,Allies,turn_limit,312,77,153,0,12445,140346
8,10008,France,turn_limit,312,123,107,0,19464,99261
9,10009,France,turn_limit,312,126,104,0,32993,104557
10,10010,Allies,turn_limit,312,81,149,0,31894,164388
11,10011,France,turn_limit,312,147,83,0,43950,15820
12,10012,Allies,turn_limit,312,82,148,0,12945,79109
13,10013,France,turn_limit,312,130,100,0,28883,78349
14,10014,France,turn_limit,312,137,93,0,24435,40466
15,10015,Allies,turn_limit,312,113,117,0,24426,42538
16,10016,France,turn_limit,312,123,107,0,21138,132938
17,10017,France,turn_limit,312,141,89,0,10384,45051
18,10018,Allies,turn_limit,312,81,149,0,1182,153509
19,10019,France,turn_limit,312,144,86,0,21885,10452
20,10020,Allies,turn_limit,312,106,124,0,5147,147140
21,10021,France,turn_limit,312,139,91,0,30629,44408
22,10022,France,turn_limit,312,128,102,0,53077,126132
23,10023,Allies,france_eliminated,249,57,173,0,0,78214
24,10024,Allies,turn_limit,312,95,135,0,11310,149193
25,10025,Allies,turn_limit,312,92,138,0,14525,121195
26,10026,Allies,turn_limit,312,83,147,0,19797,56020
27,10027,Allies,turn_limit,312,103,127,0,11680,162094
28,10028,France,turn_limit,312,131,99,0,25840,19297
29,10029,Draw,turn_limit,312,115,115,0,46067,67826
30,10030,Allies,turn_limit,312,100,130,0,25223,185607
31,10031,France,turn_limit,312,155,75,0,30019,20849
32,10032,Allies,turn_limit,312,93,137,0,13139,98888
33,10033,Allies,turn_limit,312,106,124,0,41851,121380
